index,type,name,resident,streamed,parentStack
1,string,,50337,0,||assetlist
2,xmodelmesh,p7_zm_zod_table_ritual_cloth_lod726915de0,3576,0,|p7_zm_zod_table_ritual_cloth|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
3,xmodelmesh,p7_zm_zod_beast_basin_lod7eeac6dab,352,4320,|p7_zm_zod_beast_basin_pap|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
4,xmodelmesh,p7_debris_concrete_rubble_med_05_no_metal_lod020a39d74,1120,0,|p7_debris_concrete_rubble_med_05_no_metal_warm|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
5,xmodelmesh,p7_debris_concrete_rubble_med_07_no_metal_lod05c455e6a,1136,0,|p7_debris_concrete_rubble_med_07_no_metal|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
6,xmodelmesh,p7_debris_concrete_rubble_med_02_lod0ad9eb495,1616,0,|p7_debris_concrete_rubble_med_02|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
7,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08fd8a2fc,1344,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
8,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod03da2116b,1392,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
9,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0f35667dd,1168,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
10,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod034c88b59,1360,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
11,xmodelmesh,p7_zm_vending_packapunch_lod0e27f6c62,1360,9616,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
12,xmodelmesh,p7_zm_der2_vending_packapunch_sign_wait_lod012e8b576,2048,0,|p7_zm_der2_vending_packapunch_sign_wait|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
13,xmodelmesh,p7_zm_zod_table_ritual_lod74c0f527a,240,4544,|p7_zm_zod_table_ritual|xmodel|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
14,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod06a9106b2,2640,0,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
15,xmodelmesh,p7_zm_der_magic_box_fake_lod0d37d3899,352,5248,|p7_zm_der_magic_box_fake|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
16,xmodelmesh,p7_zm_zod_table_ritual_cloth_lod6ee736c23,352,4208,|p7_zm_zod_table_ritual_cloth|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
17,xmodelmesh,p7_zm_zod_beast_basin_lod623677450,352,8768,|p7_zm_zod_beast_basin_pap|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
18,xmodelmesh,p7_debris_concrete_rubble_med_05_no_metal_lod07cd25155,1664,0,|p7_debris_concrete_rubble_med_05_no_metal_warm|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
19,xmodelmesh,p7_debris_concrete_rubble_med_02_lod019c75efb,2336,0,|p7_debris_concrete_rubble_med_02|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
20,xmodelmesh,p7_zm_zod_pap_door_chunk_d_lod040621c24,1328,0,|p7_zm_zod_pap_door_chunk_d|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
21,xmodelmesh,p7_zm_zod_pap_door_chunk_a_lod070a27716,1344,0,|p7_zm_zod_pap_door_chunk_a|xmodel|maps/zm/zm_nightmare.d3dbsp|gfx_map|zone_source/zm_nightmare.zone|csv
22,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod015c23f93,1904,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
23,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0c7aec304,1552,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
24,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0e0592c13,2048,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_nightmare.d3dbsp|col_map|zone_source/zm_nightmare.zone|csv
