xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_zm_vending_packapunch,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_vending_packapunch_on,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_zod_table_ritual,32.45,286,53.63,37.79,36.09,73128.73,1
p7_barricade_metal_gate_02_black,48.50,208,131.83,2.50,64.01,21095.15,1
p7_cinder_block,4.99,148,16.16,6.23,8.01,807.17,25
p7_zm_zod_table_ritual_cloth,30.33,100,28.97,40.92,21.60,25607.96,5
p7_zm_zod_table_ritual_tablet,1.49,98,8.50,6.88,2.47,144.16,5
p7_zm_zod_table_ritual_urn,3.91,96,9.56,9.56,14.11,1288.73,9
p7_zm_zod_beast_basin_pap,31.54,70,20.98,21.06,43.98,19431.23,5
c_zom_der_zombie_helmet1,7.07,32,10.01,10.56,9.27,979.39,1
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
c_zom_zod_zombie_fem_body1_g_rarmspawn,1.62,16,10.08,4.44,4.24,189.80,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
c_zom_zod_zombie_fem_body1_g_rlegspawn,8.35,16,11.92,8.81,4.88,512.85,1
p7_zm_der2_vending_packapunch_sign_wait,27.90,16,20.44,0.25,21.56,111.32,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
c_zom_zod_zombie_fem_body1_g_larmspawn,0.75,15,10.08,4.44,4.24,189.80,1
c_zom_zod_zombie_fem_body1_g_llegspawn,8.84,15,11.92,8.81,4.88,512.85,1
